Grid_ID,Latitude,Longitude,Elevation,Land_Use,Avg_Precipitation,Soil_Type,Drainage_Capacity,Coastal_Distance,Historical_Floods,Flood_Risk_Label
G0001,8.18727,76.360136,39,Industrial,1666.13,Loam,Medium,7.29,2,Low
G0002,8.475357,76.087643,3,Industrial,1394.27,Loam,High,5.15,2,Low
G0003,8.365997,76.936958,10,Wetland,1646.64,Clay,Medium,6.26,1,Low
G0004,8.299329,76.553802,30,Urban,1120.29,Clay,Medium,4.01,1,Low
G0005,8.078009,76.305524,42,Agriculture,1574.19,Clay,Medium,7.71,3,Low
G0006,8.077997,76.396982,31,Industrial,1050.12,Clay,Medium,4.31,1,Low
G0007,8.029042,76.447203,26,Industrial,1204.68,Sandy,High,4.63,4,Low
G0008,8.433088,76.600594,29,Urban,1675.39,Sandy,Low,5.23,2,Low
G0009,8.300558,76.515679,42,Forest,698.93,Clay,High,8.34,2,Low
G0010,8.354036,76.919392,1,Urban,2040.75,Peat,Medium,6.63,3,Moderate
G0011,8.010292,76.496963,48,Urban,1750.35,Clay,Low,3.56,1,Low
G0012,8.484955,76.992158,8,Industrial,948.44,Peat,Low,6.74,1,Moderate
G0013,8.416221,76.851425,27,Agriculture,2219.55,Loam,Low,6.46,1,Moderate
G0014,8.10617,76.208511,30,Urban,2302.23,Sandy,High,9.32,3,Moderate
G0015,8.090912,76.930595,33,Forest,1445.85,Sandy,Low,8.43,1,Low
G0016,8.091702,76.116366,14,Wetland,1222.05,Peat,High,6.51,1,Low
G0017,8.152121,76.81745,47,Urban,2005.89,Clay,High,3.48,4,Moderate
G0018,8.262378,76.380623,24,Urban,1396.86,Sandy,Medium,7.82,1,Low
G0019,8.215973,76.877974,35,Forest,1548.31,Peat,Medium,5.79,0,Low
G0020,8.145615,76.868057,7,Agriculture,1865.19,Loam,Low,9.85,2,Moderate
G0021,8.305926,76.805925,8,Urban,1453.95,Loam,Low,2.55,2,Moderate
G0022,8.069747,76.79003,36,Urban,1427.68,Sandy,Medium,0.89,3,Moderate
G0023,8.146072,76.304679,47,Agriculture,1118.28,Clay,High,0.79,1,Low
G0024,8.183181,76.080919,44,Forest,1310.84,Peat,High,6.44,2,Low
G0025,8.228035,76.40298,38,Urban,1421.77,Sandy,Medium,9.4,1,Low
G0026,8.392588,76.173525,31,Agriculture,1128.43,Loam,High,0.12,1,Low
G0027,8.099837,76.694951,16,Urban,1155.62,Clay,Medium,7.29,1,Low
G0028,8.257117,76.3461,34,Wetland,1510.08,Peat,Medium,6.6,1,Low
G0029,8.296207,76.97561,36,Industrial,945.09,Sandy,Low,7.35,2,Low
G0030,8.023225,76.640972,18,Wetland,1236.25,Peat,Low,3.62,2,Low
G0031,8.303772,76.822481,43,Urban,2083.38,Clay,Medium,8.22,1,Low
G0032,8.085262,76.132525,28,Forest,1396.36,Clay,Low,0.54,2,Moderate
G0033,8.032526,76.862014,6,Industrial,1358.78,Loam,Medium,7.58,3,Moderate
G0034,8.474443,76.922757,27,Wetland,1395.02,Clay,High,2.74,0,Low
G0035,8.482816,76.487062,8,Agriculture,1399.75,Sandy,High,4.82,1,Low
G0036,8.404199,76.606253,27,Forest,1672.46,Peat,High,8.24,0,Low
G0037,8.152307,76.76481,5,Wetland,1651.46,Clay,High,2.79,3,Moderate
G0038,8.048836,76.174839,28,Agriculture,1382.77,Clay,Medium,1.93,5,Moderate
G0039,8.342117,76.502566,16,Urban,1435.85,Sandy,High,6.85,0,Low
G0040,8.220076,76.398663,15,Agriculture,1893.83,Peat,High,5.38,2,Low
G0041,8.061019,76.146374,22,Wetland,1046.91,Peat,High,5.19,0,Low
G0042,8.247588,76.367534,30,Wetland,1482.73,Loam,High,2.64,3,Low
G0043,8.017194,76.068172,2,Urban,1540.57,Loam,Medium,0.45,2,Moderate
G0044,8.45466,76.025812,20,Agriculture,1267.0,Peat,High,4.16,0,Low
G0045,8.12939,76.135166,25,Agriculture,1465.46,Sandy,Low,1.15,3,High
G0046,8.331261,76.963115,35,Urban,1226.5,Sandy,Low,9.07,0,Low
G0047,8.155856,76.54953,41,Agriculture,1691.15,Loam,Low,0.51,2,Moderate
G0048,8.260034,76.965822,36,Urban,1098.54,Clay,Low,4.37,0,Low
G0049,8.273355,76.432498,21,Forest,1818.7,Sandy,Low,0.62,4,High
G0050,8.092427,76.311816,41,Wetland,1478.01,Clay,Low,1.05,3,High
G0051,8.484792,76.506142,11,Forest,1365.59,Sandy,Medium,6.62,1,Low
G0052,8.387566,76.439512,41,Industrial,1198.59,Peat,Low,6.51,1,Low
